Game,alpha,gamma,omega,beta,Q_Deck_1,Q_Deck_2,Q_Deck_3,I_Deck_1,I_Deck_2,I_Deck_3,I_transformed_Deck_1,I_transformed_Deck_2,I_transformed_Deck_3,V_Deck_1,V_Deck_2,V_Deck_3,Softmax_Prob_Deck_1,Softmax_Prob_Deck_2,Softmax_Prob_Deck_3,Chosen_Deck,Chosen_Prob,Weighted_I_transformed_Deck_1,Weighted_I_transformed_Deck_2,Weighted_I_transformed_Deck_3
17,0.0779407992959022,1.855876445770264,0.8255294561386108,2.043585538864136,20.05115784014225,0.0,6.975129765749124,4.0,0.0,2.0,13.102342771105278,0.0,3.619715841209815,9.23478793817005,0.0,3.986947715978871,0.9999779927471638,6.367231403239293e-09,2.200078560699968e-05,1,0.9999779927471638,10.816369901972198,0.0,2.988182049770253
18,0.0779713615775108,1.8644546270370483,0.8253512382507324,2.043585538864136,0.0,8.82368960611872,7.764757423247977,0.0,2.0,4.0,0.0,3.641302575373009,13.259084445418113,0.0,5.818336016689026,-3.1786443418488872,6.856769049566686e-06,0.9999931327791552,1.0351795837702552e-08,2,0.9999931327791552,0.0,3.005353589429694,10.943401765096866
19,0.0799269303679466,1.7670550346374512,0.7766377925872803,2.043585538864136,0.0,0.3197077214717865,7.800980466235714,0.0,2.0,4.0,0.0,3.403584752450527,11.584389167113716,0.0,-2.323644827555116,-1.1958939649834832,0.9128379593303566,0.0079089214220394,0.0792531191563201,3,0.0792531191563201,0.0,2.6433525490269023,8.996874431219199
20,0.0789923369884491,1.8239952325820925,0.8006444573402405,2.043585538864136,0.0,9.798321109673012,1.9227651863388455,0.0,4.0,2.0,0.0,12.535872140778062,3.540603358296162,0.0,-0.2384554377668788,-0.911999268121218,0.5651727890954484,0.3471744604665576,0.0876527503814767,2,0.3471744604665576,0.0,10.03677654743989,2.8347644544600636
21,0.0773829370737075,1.86199963092804,0.8309667110443115,2.043585538864136,0.0,8.765911318738137,19.361823001345567,0.0,2.0,4.0,0.0,3.635111535855407,13.214035878109057,0.0,5.745254641509134,8.381399068091755,3.6255658887796276e-08,0.0045539920452667,0.9954459715995296,3,0.9954459715995296,0.0,3.0206566772290033,10.980423933253814
22,0.0783175304532051,1.8580567836761477,0.8254916071891785,2.043585538864136,4.3829422413023895,4.8283128817164656,5.791238057421534,2.0,2.0,2.0,3.625190435745019,3.625190435745019,3.625190435745019,1.3903779621323955,1.8357486025464715,2.79867377825154,0.0470302684083367,0.1168562332155742,0.8361134982924777,3,0.8361134982924777,2.992564279169994,2.992564279169994,2.992564279169994
23,0.078071728348732,1.8551244735717771,0.8275173306465149,2.043585538864136,2.029864937067032,1.4346012804870425,5.251689167553702,2.0,2.0,2.0,3.6178296377128993,3.6178296377128993,3.6178296377128993,-0.9639517874669944,-1.559215444046984,2.257872443019676,0.0013797354210435,0.0004087790685862,0.998211485410549,3,0.998211485410549,2.9938167245340264,2.9938167245340264,2.9938167245340264
24,0.0781604275107383,1.8624597787857056,0.8246535062789917,2.043585538864136,7.690089940315031,4.989601849281154,0.0,2.0,4.0,0.0,3.636271140289297,13.222467805700823,0.0,4.691426194694355,-5.914352588351116,0.0,0.9999314119492352,3.865017423746221e-10,6.858756426997187e-05,1,0.9999314119492352,2.998663745620676,10.903954437632269,0.0
25,0.0782517865300178,1.868199586868286,0.8253556489944458,2.043585538864136,7.183209048711881,5.442953364505166,0.0,4.0,2.0,0.0,13.328099524513036,3.6507669775696496,0.0,-3.81721318420514,2.4297722164056763,0.0,2.835754609096828e-06,0.9930706653532712,0.0069264987928124,2,0.9930706653532712,11.000422232917021,3.0131811480994894,0.0
26,0.0782410874962806,1.850061535835266,0.8200403451919556,2.043585538864136,4.78704955994834,0.0,14.040269546857289,2.0,0.0,4.0,3.605155619275145,0.0,12.997147039191155,1.8306765014472317,0.0,3.382084602328371,0.040255098786815,0.0009551304500479,0.958789770667258,3,0.958789770667258,2.956373058501108,0.0,10.658184944528918
27,0.0779857039451599,1.8616302013397217,0.8272165656089783,2.043585538864136,10.0304421972837,0.0,3.203332106171666,2.0,0.0,4.0,3.634180815367054,0.0,13.207270198781949,7.024187624393731,0.0,-7.721940588734544,0.9999994165792876,5.833206306863378e-07,1e-10,1,0.9999994165792876,3.0062545728899708,0.0,10.92527269490621
28,0.077582336962223,1.873592734336853,0.8329389095306396,2.043585538864136,10.67896187401002,12.49857012621402,0.0,2.0,4.0,0.0,3.664439979424048,13.428120362801318,0.0,7.626707233508075,1.3137661941761145,0.0,0.9999973341621422,2.4954594896660347e-06,1.702783684865894e-07,1,0.9999973341621422,3.052254640501946,11.184803932037907,0.0
29,0.077721506357193,1.8778647184371948,0.8333936929702759,2.043585538864136,0.0,12.216916581117944,9.991837573333678,0.0,4.0,2.0,0.0,13.50788069236169,3.675306884106644,0.0,0.9595340067087488,6.928859996388963,7.087777461572638e-07,5.036324466270096e-06,0.999994254797788,3,0.999994254797788,0.0,11.257382574409196,3.062977576944714
30,0.0783749669790268,1.8632749319076536,0.8224518299102783,2.043585538864136,0.0,6.216407109252862,4.390702904701966,0.0,4.0,2.0,0.0,13.237418197693229,3.638326290712974,0.0,-4.670731710727551,1.3983547890944052,0.0542866211117286,3.884496239153872e-06,0.9457094942974612,3,0.9457094942974612,0.0,10.887138819980414,2.9923481156075606
31,0.0778288096189498,1.908057451248169,0.8424431681632996,2.043585538864136,0.0,10.967814868879762,7.242303823632671,0.0,4.0,2.0,0.0,14.085265984071029,3.7530342369969167,0.0,-0.8982212311637898,4.080585770791657,0.0002389387861232,3.8115288530542784e-05,0.999722945825374,3,0.999722945825374,0.0,11.866036100043553,3.1617180528410143
32,0.0780993625521659,1.8735343217849727,0.8249191641807556,2.043585538864136,0.0,7.191968361119932,5.331571876116872,0.0,4.0,2.0,0.0,13.4270330380404,3.6642916147654514,0.0,-3.884248510047746,2.3088274999500045,0.0088513925884873,3.1598861414602832e-06,0.9911454474262568,3,0.9911454474262568,0.0,11.076216871167679,3.0227443761668673
33,0.0785832852125167,1.8722827434539795,0.8132141828536987,2.043585538864136,3.4542724691911864,0.0,6.043523691795904,2.0,0.0,4.0,3.6611141177041753,0.0,13.40375658285282,0.4770025436282452,0.0,-4.856601264898637,0.7260645761218277,0.2739220175876281,1.3406217937825311e-05,1,0.7260645761218277,2.977269925562941,0.0,10.90012495669454
34,0.0782610923051834,1.8506518602371216,0.8205673694610596,2.043585538864136,5.107386326844456,0.0,14.63124157459599,2.0,0.0,4.0,3.6066310848074776,0.0,13.007787781899562,2.1479025449674967,0.0,3.9574753718949545,0.0241665097083518,0.0002998554357082,0.9755336347583868,3,0.9755336347583868,2.9594837818769597,0.0,10.673766202701035
